Token,Frequency
violence,3464
woman,3437
ukraine,2062
sexual,1779
gender,1741
de,1617
right,1516
victim,1218
law,1162
survivor,1138
human,1002
international,949
support,946
conflict,933
service,918
also,911
case,849
national,829
may,815
russian,813
social,803
including,794
men,784
le,767
domestic,751
june,741
report,710
equality,710
child,702
protection,693
group,689
et,683
ukrainian,668
crime,662
state,654
person,625
public,601
policy,601
based,599
measure,597
armed,595
government,590
la,587
information,582
one,577
force,568
people,564
family,560
war,558
action,554
criminal,537
change,534
need,522
legal,518
reparation,515
crsv,513
ministry,511
justice,502
situation,501
work,493
region,489
girl,485
article,482
well,481
local,462
access,451
related,451
assistance,448
area,439
council,436
gbv,432
year,431
party,426
training,425
plan,423
accessed,420
rape,418
time,416
member,415
form,413
eucci,410
project,407
health,406
act,405
un,398
education,388
discrimination,388
authority,387
centre,387
security,386
general,379
programme,377
court,373
development,371
ensure,370
level,367
among,367
order,362
community,357
number,353
provide,353
implementation,353
awareness,348
march,347
co,346
country,342
violation,339
police,337
prevention,336
society,334
data,334
civilian,332
new,332
ohchr,328
e,322
place,321
risk,321
commission,321
convention,317
activity,313
research,310
civil,309
within,309
refugee,307
period,306
military,306
system,305
objective,300
trafficking,299
life,293
strategy,292
study,290
care,288
humanitarian,288
code,288
equal,287
process,285
provision,282
committed,279
opportunity,279
en,279
à,279
representative,277
shall,276
part,275
april,274
response,274
office,269
two,269
political,269
reported,268
since,262
take,260
legislative,260
working,259
issue,258
february,252
individual,249
available,247
institution,247
united,246
provided,246
first,246
idp,245
result,245
body,244
page,243
respondent,240
forced,239
medium,237
european,237
n,236
psychological,236
line,235
europe,233
organisation,232
july,230
federation,229
day,229
operation,228
partner,228
context,227
prosecutor,226
harassment,226
raising,226
population,225
reporting,225
republic,225
strategic,224
prevent,223
participation,222
due,221
impact,220
many,219
procedure,219
agency,218
rule,217
expert,216
offence,212
du,212
term,211
established,210
investigation,208
nation,207
medical,206
relevant,206
detention,204
framework,204
perpetrator,203
organization,203
mechanism,203
special,201
particular,198
january,197
use,197
school,197
help,197
standard,196
capacity,196
application,195
displaced,195
december,194
campaign,194
see,193
territory,192
include,192
survey,192
must,191
status,191
treatment,189
different,189
experience,189
professional,188
economic,187
recommendation,187
lack,187
regarding,187
principle,187
decision,186
document,186
monitoring,184
three,184
according,184
institutional,184
thblssi,184
specific,183
approach,182
non,182
practice,181
however,179
following,179
affected,179
sex,177
physical,176
necessary,174
combating,173
aim,173
labour,173
effective,172
often,172
minister,172
made,171
november,169
without,169
soldier,169
august,168
aid,168
field,168
femmes,168
enforcement,167
committee,167
torture,166
pour,166
abuse,164
c,163
disability,163
analysis,162
age,162
conflictrelated,161
donetsk,161
condition,160
incident,159
would,159
fund,159
department,159
crisis,157
increase,155
peace,155
several,153
ngo,153
resolution,152
dans,152
included,151
various,151
combat,150
developed,150
adopted,149
effort,149
could,149
september,149
even,149
important,149
initiative,149
legislation,148
example,148
increased,148
russia,148
regional,148
documented,147
problem,147
challenge,147
f,146
focus,146
attack,145
sector,145
female,145
total,144
providing,143
aimed,143
obligation,142
possible,142
official,141
proceeding,140
month,140
used,139
high,138
address,138
occupied,137
free,137
set,137
genderbased,136
another,136
event,136
threat,135
role,135
stereotype,135
r,134
employment,134
make,134
current,133
resource,133
serious,132
actor,132
addition,132
higher,131
october,131
administration,130
boy,130
conducted,130
assessment,130
making,130
invasion,130
accountability,128
conduct,128
basis,128
particularly,128
home,127
p,127
vulnerable,127
freedom,126
association,126
held,126
provides,126
responsibility,126
budget,126
taken,125
program,125
man,124
published,124
parliament,123
evidence,123
oblast,123
parent,122
course,122
network,122
way,121
financial,121
priority,121
asylum,121
relation,120
call,120
carried,120
main,120
federal,119
key,119
staff,118
kharkiv,118
section,118
discussion,118
th,118
u,117
officer,117
protect,117
purpose,117
effect,116
especially,116
additional,116
promote,116
mean,115
city,115
administrative,115
judicial,115
affair,115
review,115
sri,115
preventing,114
conflictaffected,114
finding,114
point,114
accordance,114
management,114
safety,114
worker,113
contact,113
citizen,113
integration,113
au,113
conv,113
ention,113
ensuring,112
young,112
basic,112
displacement,112
consequence,112
b,111
para,111
mentioned,111
given,111
income,111
shelter,111
migrant,111
end,110
prosecution,110
control,110
table,110
includes,110
mainstreaming,110
proposal,110
organised,110
eastern,109
account,109
respect,109
psychosocial,109
employee,109
institute,109
witness,108
protocol,108
four,108
online,108
private,107
said,107
personal,107
funding,107
strengthen,107
continued,106
share,106
compensation,106
agreement,106
exploitation,106
unit,105
material,105
ground,104
last,104
experienced,104
type,104
eu,104
ce,104
gap,104
building,103
across,103
pay,103
interview,103
center,103
union,103
sur,103
took,102
limited,102
amendment,102
apply,101
power,101
implemented,101
tool,101
scope,101
responsible,101
facility,100
towards,100
strengthening,100
l,100
launched,99
living,98
ongoing,98
harm,98
trauma,98
significant,98
household,98
personnel,98
educational,97
v,97
upon,97
topic,97
five,96
draft,96
safe,96
comprehensive,96
per,95
fear,95
une,95
circumstance,94
million,94
president,94
regulation,94
referral,94
droits,94
par,94
attention,93
fact,93
temporary,93
position,93
meeting,93
genre,93
able,92
weapon,92
concern,92
certain,92
world,92
guideline,92
language,92
reform,92
promotion,92
still,91
emergency,91
participant,91
university,91
coordination,91
democracy,91
lanka,91
pertinent,91
found,90
environment,90
goal,90
perspective,90
andor,90
counselling,90
least,89
view,89
third,89
communication,89
internal,89
internally,89
setting,88
injury,88
droit,88
al,88
applicant,88
damage,87
occupation,87
secondary,87
male,87
seek,87
question,87
victimssurvivors,87
achieve,87
mission,86
full,86
compared,86
existing,86
mental,86
youth,86
currently,86
employer,86
note,85
instance,85
others,85
appropriate,85
involved,85
foreign,85
website,85
central,85
rate,85
using,85
culture,85
promoting,85
face,84
active,84
request,84
regard,84
establishment,84
proposed,84
election,84
global,84
marriage,84
together,84
annex,84
already,83
taking,83
raped,83
etc,83
killed,82
crimea,82
registered,82
present,82
nature,82
every,82
husband,82
good,82
structure,82
paragraph,82
come,82
kyiv,81
continue,81
art,81
direct,81
put,81
target,81
attitude,81
entity,81
moreover,80
remedy,80
source,80
hospital,80
house,80
cost,80
documentation,80
develop,80
award,80
qui,80
decree,79
leave,79
seeking,79
intervention,79
housing,78
cooperation,78
